CustomerID,Age,Gender,Region,PlanType,MonthlyCharges,TenureMonths,SupportTickets,AvgMonthlyUsageHours,ContractType,PaymentMethod,AutoPay,SatisfactionScore,LastLoginDays,ReferralCount,DeviceCount,Churn
C0001,__35__,Male,South,Basic,16.62,2,5,__27.0__,Quarterly,Card,Yes,4,26,0,1,0
C0002,26,Male,North,Standard,46.23,__4__,0,46.1,Monthly,UPI,Yes,5,11,0,2,1
C0003,31,Female,North,Standard,43.04,32,0,27.2,,UPI,Yes,7,6,2,3,0
C0004,34,Male,East,Basic,29.19,20,4,25.1,Monthly,Bank Transfer,Yes,4,19,0,4,0
C0005,38,Female,North,Basic,24.95,1,4,49,Monthly,Cash,No,3,25,0,3,1
C0006,36,Female,East,Standard,47.99,11,0,36.8,3,Card,Yes,8,0,2,3,0
C0007,28,Female,West,Standard,37.51,64,2,40.2,Quarterly,N/A,Yes,5,10,2,3,0
C0008,58,Male,Central,Standard,37.32,13,4,50.6,3,Bank Transfer,Yes,5,13,4,2,0
C0009,26,Male,East,Premium,69.6,33,1,57.3,Yearly,Cash,Yes,6,1,2,2,0
C0010,23,Male,Central,Standard,43.56,5,0,37.6,Monthly,Card,No,5,0,0,2,0
C0011,29,Male,South,Basic,27.07,23,5,42.2,Monthly,Card,Yes,4,20,0,1,0
C0012,29,Female,West,Basic,15.25,2,3,46.1,Monthly,UPI,No,6,9,0,2,0
C0013,37,Male,West,Basic,__23.2__,12,5,37.7,Yearly,UPI,,4,3,1,2,0
C0014,37,Female,West,Premium,83.14,4,4,53.1,Yearly,UPI,Yes,4,0,"""""",2,0
C0015,39,Male,Central,Basic,23.21,7,7,44.1,Yearly,Bank Transfer,Yes,1,18,1,2,0
C0016,18,Female,Central,Standard,52.84,18,0,"""49.1""",Monthly,Cash,Yes,6,0,0,3,0
C0017,29,Male,West,Standard,54.22,15,4,"""49.0""",Monthly,__value__,Yes,__6__,11,0,3,0
C0018,26,Female,Central,Basic,39.74,31,NaN,56.5,Yearly,Card,Yes,__7__,12,0,3,0
C0019,41,Male,West,Basic,28.87,43,8,44.9,Yearly,Card,Yes,7,27,1,3,0
C0020,32,Female,South,Standard,40.54,33,1,38.7,Monthly,Card,No,7,0,1,2,0
C0021,52,Female,West,Premium,83.38,25,3,49.6,,UPI,Yes,4,10,4,3,0
C0022,28,Male,South,Premium,63.58,3,5,37.1,1,UPI,Yes,3,30,2,3,1
C0023,26,Non-binary,East,Basic,32.1,13,3,22.1,Monthly,Card,No,5,20,1,2,0
C0024,26,Male,Central,Basic,29.59,42,5,43.8,Monthly,Bank Transfer,No,2,0,0,1,0
C0025,60,Female,N/A,Standard,36.31,7,1,52.2,Monthly,Card,Yes,2,__18__,0,1,0
C0026,32,Male,East,Basic,27.57,28,3,35.2,Monthly,UPI,Yes,6,0,0,1,0
C0027,29,Male,South,2,32.47,5,2,43.8,Monthly,Bank Transfer,No,7,10,0,1,0
C0028,28,Female,North,Premium,75.21,36,4,40.4,Monthly,UPI,No,unknown,10,2,3,1
C0029,23,Female,East,3,77.17,40,0,42.6,Monthly,UPI,Yes,9,0,1,3,0
C0030,24,Female,South,Basic,8.5,2,4,49.5,Monthly,Bank Transfer,Yes,5,25,0,1,0
C0031,26,Male,West,Basic,15.81,27,5,40,Yearly,Bank Transfer,1,6,5,0,3,0
C0032,19,Female,South,Standard,38.9,6,0,43,Quarterly,UPI,No,9,0,4,2,0
C0033,23,Male,West,Basic,11.56,12,7,43.6,Monthly,Card,No,1,28,1,1,1
C0034,50,Non-binary,East,Basic,19.21,2,5,39.9,Monthly,Card,No,3,10,0,2,0
C0035,28,Male,Central,Standard,43.34,25,5,54.2,Yearly,Card,Yes,4,22,2,2,0
C0036,51,Female,North,Standard,47.63,7,0,23.8,3,Bank Transfer,,5,2,3,3,0
C0037,25,Male,East,Standard,46.47,32,1,30.4,Quarterly,Cash,Yes,,0,0,2,0
C0038,34,Female,North,Basic,33.53,unknown,5,26.5,Quarterly,Card,Yes,3,22,0,2,1
C0039,18,Female,Central,Premium,65.64,2,1,41.2,Yearly,UPI,No,4,8,3,4,0
C0040,31,Female,Central,Basic,27.91,72,3,38.1,Monthly,Card,1,5,0,0,1,0
C0041,43,Male,Central,Premium,87.23,14,2,58.5,Monthly,Card,Yes,8,5,2,6,0
C0042,35,Female,West,Basic,14.07,1,4,53.3,Monthly,Cash,Yes,5,8,2,3,0
C0043,34,Female,East,Basic,13.77,6,3,unknown,Quarterly,,No,2,25,0,3,0
C0044,33,Non-binary,North,Premium,73.82,__5__,2,69.2,Monthly,Card,Yes,7,6,__0__,2,0
C0045,32,Male,South,Premium,62.99,unknown,0,42.6,Yearly,Bank Transfer,Yes,5,0,2,3,0
C0046,30,Female,East,Standard,54.44,12,1,52.3,__value__,Bank Transfer,Yes,3,0,0,1,1
C0047,39,Female,Central,Premium,86.88,72,1,unknown,Monthly,UPI,Yes,4,0,2,4,0
C0048,32,Male,__value__,__value__,18.18,2,6,50.1,Monthly,Bank Transfer,Yes,3,14,2,3,1
C0049,40,Female,North,Standard,26.15,15,,45.4,Monthly,UPI,No,6,0,0,1,0
C0050,35,Non-binary,Central,Premium,71.14,23,2,55.2,Monthly,Card,0,9,16,2,3,0
C0051,32,Male,West,Premium,87.08,6,0,50.6,Yearly,Bank Transfer,No,8,0,3,2,0
C0052,18,Male,East,Premium,"""74.28""",16,0,"""""",Monthly,Bank Transfer,Yes,7,0,5,3,0
C0053,37,Female,West,Basic,25.84,25,4,21.7,1,Bank Transfer,No,6,5,2,2,0
C0054,52,Male,Central,Premium,63.1,1,4,70.5,Yearly,Card,No,5,24,1,3,0
C0055,30,Female,West,Premium,66.21,1,4,59.5,Yearly,Cash,No,5,13,0,1,0
C0056,28,Male,North,Basic,8.5,9,6,51.2,Quarterly,,Yes,7,21,0,1,0
C0057,44,Male,East,Standard,48.96,42,0,44,Monthly,Card,No,8,0,4,2,0
C0058,23,,North,Basic,47.09,16,0,26.4,Monthly,Cash,No,6,13,0,1,1
C0059,26,Female,East,Standard,36.19,5,2,34.2,Monthly,Card,No,6,0,1,2,0
C0060,55,N/A,East,Standard,45.46,2,1,59.3,Monthly,Card,Yes,8,2,4,2,0
C0061,42,Female,East,Premium,66.82,12,5,61.1,Monthly,UPI,No,1,25,1,3,1
C0062,36,Male,East,2,46.09,32,3,39.3,Monthly,Card,No,1,0,1,2,0
C0063,44,Male,South,Basic,14.34,1,6,40.4,Monthly,Bank Transfer,Yes,1,34,0,1,1
C0064,33,Female,West,Standard,25.53,51,1,58.3,Monthly,Bank Transfer,Yes,3,19,0,3,0
C0065,45,Non-binary,West,,20.39,5,1,19.2,Monthly,Card,No,6,0,2,1,0
C0066,40,Female,Central,Basic,12.62,36,5,45.3,Monthly,Card,No,4,8,1,1,0
C0067,38,Female,Central,Basic,20.33,unknown,3,44.6,Quarterly,Bank Transfer,Yes,3,2,3,2,0
C0068,35,Non-binary,West,Standard,40.42,3,1,30.2,Yearly,Card,Yes,9,12,0,1,0
C0069,29,Female,West,Basic,14.16,22,7,"""27.5""",Yearly,UPI,Yes,3,16,0,3,0
C0070,46,Female,East,Premium,79.75,21,1,54.5,1,Bank Transfer,No,5,7,5,unknown,0
C0071,31,Female,West,Premium,67.79,23,4,50.1,Monthly,Bank Transfer,Yes,4,3,,5,0
C0072,38,Female,Central,Premium,64.58,31,0,43.7,Monthly,Cash,No,6,5,1,2,0
C0073,59,Female,West,Basic,18.62,25,6,39.6,Monthly,Card,Yes,4,18,0,4,0
C0074,41,Female,North,2,,6,0,31.2,Monthly,Card,No,8,8,1,3,0
C0075,35,Male,Central,Basic,"""""",5,8,33.7,Yearly,Card,Yes,1,21,2,3,1
C0076,21,Male,West,3,70.72,1,6,55.4,Yearly,Bank Transfer,,4,7,2,3,0
C0077,41,Female,East,Basic,8.5,34,5,55.4,1,Card,Yes,3,16,1,3,0
C0078,18,Male,South,Basic,16.91,3,6,54.6,Yearly,Bank Transfer,Yes,5,4,1,1,0
C0079,49,Female,Central,Basic,13.27,64,4,51.8,Monthly,N/A,No,3,0,2,3,1
C0080,30,Female,North,,46.83,13,0,45.2,Yearly,UPI,Yes,8,0,1,3,0
C0081,41,Female,East,Premium,"""76.42""",2,"""""",51.3,Quarterly,Cash,Yes,5,1,3,3,0
C0082,35,Female,East,Basic,15.63,2,"""""",32.9,Quarterly,Bank Transfer,No,6,5,0,2,0
C0083,53,Male,Central,Standard,39.5,2,0,36.3,Monthly,Card,No,10,0,2,2,0
C0084,34,Male,South,Basic,17.92,27,8,87.5,1,Card,No,1,16,0,1,1
C0085,47,Female,South,1,10.22,33,5,20.9,Monthly,Bank Transfer,Yes,3,3,0,2,0
C0086,24,Male,West,Premium,78.12,4,1,NaN,Monthly,UPI,No,4,7,2,4,0
C0087,39,Female,East,Standard,40.12,2,4,23.3,Monthly,UPI,Yes,5,9,0,3,0
C0088,27,Male,North,Basic,20.24,9,4,44,Monthly,Card,unknown,4,3,1,2,0
C0089,18,Female,West,Standard,44.6,1,3,45.3,Yearly,Bank Transfer,No,5,9,0,3,1
C0090,19,Male,North,Premium,81.86,13,0,50.5,Quarterly,UPI,Yes,8,1,2,3,0
